XMID,DBA,Status,Sales Rep,Portfolio,Date Added,Date Approved,Date Assigned,Date Created,Date Submitted,Date Closed,VIPStatus
,My Muscle Sites,Received,Taylor Hibbeler,HRSS - Conexus (Trinity),7/20/2022 2:49:16 PM,,,7/20/2022 2:49:16 PM,7/20/2022 2:59:27 PM,,
8739296900300087,Hightech CB Shop,Approved,Gary King,Gary King,7/20/2022 2:47:26 PM,7/20/2022 8:23:46 PM,,7/20/2022 2:47:26 PM,7/20/2022 2:56:37 PM,,
,Richboi Investments,Draft,Roderick Ricks,Roderick Ricks,7/20/2022 2:46:44 PM,,,7/20/2022 2:46:44 PM,,,
,PHARAON MARKET,Declined,Don Hutter,Don Hutter,7/20/2022 2:42:34 PM,,,7/20/2022 2:42:34 PM,7/20/2022 2:53:02 PM,7/21/2022 9:27:03 AM,
8739299330302341,BAYSEAS CATFISH HOUSE #5,Approved,Enrique Jimenez,Enrique Jimenez,7/20/2022 2:42:23 PM,7/20/2022 5:42:07 PM,,7/20/2022 2:42:23 PM,7/20/2022 2:49:39 PM,,
,solidhealthpr8444221509,Received,Amanda Collazzo,BRANDON RODRIQUEZ,7/20/2022 2:41:10 PM,,,7/20/2022 2:41:10 PM,7/20/2022 2:45:49 PM,,
,BLESSED TOWING,Declined,Don Hutter,Don Hutter,7/20/2022 2:34:31 PM,,,7/20/2022 2:34:31 PM,7/20/2022 3:20:53 PM,7/21/2022 9:56:15 AM,
8739299330302347,OLGAS CAKES,Approved,Don Hutter,Don Hutter,7/20/2022 2:32:47 PM,7/21/2022 12:32:16 PM,,7/20/2022 2:32:48 PM,7/20/2022 2:55:19 PM,,
554402009789660,Shays Liquors,Approved,Zee Payment,Zee Payment,7/20/2022 2:07:34 PM,7/20/2022 6:39:45 PM,,7/20/2022 2:07:34 PM,7/20/2022 2:07:34 PM,,
8739299330302339,CITY AUTOMOTIVE COLLISION AND TOWING,Approved,Don Hutter,Don Hutter,7/20/2022 2:06:00 PM,7/20/2022 5:16:53 PM,,7/20/2022 2:06:00 PM,7/20/2022 2:12:22 PM,,
,Lucky Toys,Pending,Todd Richardson,Todd Richardson,7/20/2022 2:01:39 PM,,,7/20/2022 2:01:39 PM,7/20/2022 4:26:17 PM,,
554402050040773,FUEL BAR - 360,Approved,Austin Meador,Austin Meador,7/20/2022 1:58:51 PM,7/21/2022 12:42:11 PM,,7/20/2022 1:58:51 PM,7/20/2022 2:11:46 PM,,
,Inflatable VA,Pending,Sierra Kedzierski,Sierra Kedzierski,7/20/2022 1:55:03 PM,,,7/20/2022 1:55:03 PM,7/20/2022 2:06:18 PM,,
554402050040633,THE FUEL BAR,Approved,Austin Meador,Austin Meador,7/20/2022 1:50:10 PM,7/20/2022 4:50:22 PM,,7/20/2022 1:50:10 PM,7/20/2022 2:01:06 PM,,
,solidhealthcl8444220619,Received,Amanda Collazzo,BRANDON RODRIQUEZ,7/20/2022 1:43:50 PM,,,7/20/2022 1:43:50 PM,7/20/2022 2:35:34 PM,,
,Pine Tree Apple Tennis Classic,Draft,Tim Mueller,American Metro,7/20/2022 1:35:40 PM,,,7/20/2022 1:35:40 PM,,,
554402009789652,Buffalo Express,Approved,Reseller Maher,Reseller Maher,7/20/2022 1:23:04 PM,7/20/2022 5:28:34 PM,,7/20/2022 1:23:04 PM,7/20/2022 1:23:04 PM,,
8739299330302340,JOHNNY CASH TOWING & RECOVERY,Approved,Ashley Siegel,Ashley Siegel,7/20/2022 1:21:19 PM,7/20/2022 5:39:47 PM,,7/20/2022 1:21:19 PM,7/20/2022 1:37:54 PM,,
8739299330302355,WILLIE B LOCAL,Approved,Jennifer Cavness,Jennifer Cavness - Indigo,7/20/2022 1:14:29 PM,7/22/2022 9:40:49 AM,,7/20/2022 1:14:29 PM,7/20/2022 1:41:04 PM,,
,Carlson Paint & Design LLC,Draft,Chris Mills,Cork CRM,7/20/2022 1:06:04 PM,,,7/20/2022 1:06:04 PM,7/20/2022 1:06:04 PM,,
554402050040658,PIZZA JUNCTION,Approved,Sidney Warren,Sidney Warren,7/20/2022 12:49:54 PM,7/20/2022 5:19:05 PM,,7/20/2022 12:49:54 PM,7/20/2022 1:31:08 PM,,
554402050040625,MALL OF AFRICA RESTAURANT,Approved,Armando Hernandez2,Armando Hernandez2,7/20/2022 12:45:57 PM,7/20/2022 4:20:16 PM,,7/20/2022 12:45:57 PM,7/20/2022 2:31:17 PM,,
56310000007925,BASSIC AUDIO & PERFORMANCE,Approved,Shanqueena Harris,Shanqueena Harris,7/20/2022 12:42:06 PM,7/20/2022 7:12:25 PM,,7/20/2022 12:42:06 PM,7/20/2022 1:53:35 PM,,
,JM Foot Spa,Declined,Emily Hu,Emily Hu,7/20/2022 12:38:57 PM,,,7/20/2022 12:38:57 PM,7/20/2022 12:38:57 PM,7/20/2022 4:47:44 PM,
554402050040641,DEHOYOS AUTO SALES & REPAIR,Approved,Jack Portman,Jack Portman,7/20/2022 12:33:51 PM,7/20/2022 5:03:55 PM,,7/20/2022 12:33:51 PM,7/20/2022 12:41:34 PM,,
554402050040609,ITALIAN FRESH PIZZA,Approved,Mollie Morse,Mollie Morse,7/20/2022 12:20:55 PM,7/20/2022 2:54:01 PM,,7/20/2022 12:20:55 PM,7/20/2022 12:30:12 PM,,
,Tito's Auto Shop,Pending,Josh Dempsey,Enhanced Payment Systems LLC,7/20/2022 12:19:01 PM,,,7/20/2022 12:19:01 PM,7/20/2022 12:19:34 PM,,
554402000694257,5 Starr Hair,Approved,Debra   Holt,Enhanced House Accounts,7/20/2022 12:17:47 PM,7/20/2022 4:59:16 PM,,7/20/2022 12:17:47 PM,7/20/2022 12:21:56 PM,,
56310000007922,MIDWAY SALES,Approved,Jim Outman,Jim Outman,7/20/2022 12:13:03 PM,7/20/2022 5:13:04 PM,,7/20/2022 12:13:03 PM,7/20/2022 12:55:30 PM,,
554402000694273,Winfield's Chocolate Bar,Approved,Matt Clyne,PayTech Trust,7/20/2022 12:09:31 PM,7/20/2022 5:57:30 PM,,7/20/2022 12:09:31 PM,7/20/2022 3:49:14 PM,,
,Boomerang Grille,Draft,Robbie Stephenson,Triad Payments,7/20/2022 12:06:16 PM,,,7/20/2022 12:06:16 PM,,,
,El Guanajuato Restaurante LLC,Pending,Marc Walker,Liberty Bank,7/20/2022 12:02:16 PM,,,7/20/2022 12:02:16 PM,7/20/2022 12:13:35 PM,,
8739299330302338,CHROME AUTO REPAIR,Approved,Josiah  Calkins,Josiah Calkins,7/20/2022 11:57:39 AM,7/20/2022 4:32:01 PM,,7/20/2022 11:57:39 AM,7/20/2022 12:13:22 PM,,
8739297575300629,Kirklands Tanning,Approved,Ross Church,CashBack Corporation,7/20/2022 11:55:08 AM,7/20/2022 4:12:52 PM,,7/20/2022 11:55:08 AM,7/20/2022 11:55:08 AM,,
,WINE BARREL PLUS,Pending,Rob Stasiak,CBB,7/20/2022 11:52:06 AM,,,7/20/2022 11:52:06 AM,7/20/2022 11:57:38 AM,,
,Swap & Trade Pawn,Draft,Ryan Ader,Answered by Geeks,7/20/2022 11:45:38 AM,,,7/20/2022 11:45:38 AM,,,
554402050040740,EL JALAPENOS,Approved,Harley Miller,Harley Miller,7/20/2022 11:39:17 AM,7/21/2022 9:49:04 AM,,7/20/2022 11:39:18 AM,7/20/2022 11:49:36 AM,,
554402000694265,Fraser's Pub,Approved,Mark Coffey,Mark Coffey,7/20/2022 11:39:10 AM,7/20/2022 5:31:42 PM,,7/20/2022 11:39:10 AM,7/20/2022 1:19:50 PM,,
554402002223899,BOARDWALK PIZZERIA - NZ0,Approved,Louis Montella,Louis Montella NZ0,7/20/2022 11:35:14 AM,7/20/2022 5:12:58 PM,,7/20/2022 11:35:14 AM,7/20/2022 12:56:29 PM,,
554402050040732,FIESTA JALAPENOS-NR OHIO,Approved,Harley Miller,Harley Miller,7/20/2022 11:33:16 AM,7/21/2022 9:45:10 AM,,7/20/2022 11:33:16 AM,7/20/2022 11:46:03 AM,,
