DBA,Date Added,XMID,Assigned To,Date Created,Date Submitted,Date Approved,Date Closed,Status,Portfolio,Date Assigned
Stars n Stripes Scooter,1/3/2014 10:55:12 AM,518089240739748,Tom  Ellison,1/3/2014 10:55:12 AM,1/7/2014 4:18:46 PM,1/14/2014 12:13:08 PM,7/11/2020 1:40:53 PM,Closed,E-Innovations 2,
Sumter Coatings 2,3/10/2015 11:06:04 PM,554402000144709,Tom  Ellison,3/10/2015 11:06:05 PM,3/10/2015 11:28:09 PM,3/12/2015 2:47:41 PM,2/15/2019 5:29:02 PM,Closed,E-Innovations 2,
Sumter Coatings Inc,2/24/2012 12:27:01 PM,518089240560292,Tom Ellison,2/24/2012 12:27:01 PM,2/24/2012 12:43:36 PM,2/27/2012 1:44:49 PM,6/23/2015 8:40:19 PM,Closed,E-Innovations 2,
"Sumter Coatings, Inc.",12/29/2014 11:11:52 AM,554402000129015,Tom  Ellison,12/29/2014 11:11:52 AM,12/29/2014 12:57:08 PM,12/29/2014 7:42:49 PM,2/21/2019 4:49:29 PM,Closed,E-Innovations 2,
The Lighting Showroom by Black Electrical Supply,11/12/2012 10:56:04 PM,518089240645580,Tom Ellison,11/12/2012 10:56:04 PM,12/12/2012 5:08:09 PM,12/14/2012 2:50:11 PM,1/25/2013 12:56:03 PM,Closed,E-Innovations 2,
Tint Works Inc,5/21/2012 6:53:58 PM,518089240587147,Tom  Ellison,5/21/2012 6:53:58 PM,5/21/2012 7:10:52 PM,5/22/2012 1:07:31 PM,7/28/2014 10:31:39 AM,Closed,E-Innovations 2,
Tri-County Water Systems,7/17/2019 7:04:10 PM,554402000536946,Tom  Ellison,7/17/2019 7:04:11 PM,7/17/2019 7:21:36 PM,7/25/2019 12:20:50 PM,9/27/2019 11:18:02 AM,Approved,E-Innovations 2,
Universal Products Inc,3/5/2013 1:15:43 PM,518089240667097,Tom Ellison,3/5/2013 1:15:43 PM,3/5/2013 4:11:20 PM,3/7/2013 12:22:22 PM,5/19/2013 12:33:41 PM,Closed,E-Innovations 2,
WB Guimarin and Company,3/25/2013 10:23:28 AM,518089240672667,Tom Ellison,3/25/2013 10:23:28 AM,3/26/2013 12:40:42 PM,3/26/2013 3:25:47 PM,10/29/2014 5:34:55 AM,Closed,E-Innovations 2,
WB Guimarin and Company,9/11/2014 5:35:14 PM,554402000107045,Tom Ellison,9/11/2014 5:35:14 PM,9/19/2014 12:43:13 PM,9/20/2014 10:54:46 AM,11/11/2015 6:38:58 PM,Closed,E-Innovations 2,
WB Guimarin and Company,10/22/2015 8:44:28 AM,554402000193631,Tom Ellison,10/22/2015 8:44:28 AM,10/22/2015 8:50:34 AM,10/22/2015 2:53:51 PM,,Approved,E-Innovations 2,
Western Forms Inc,9/12/2013 6:33:07 PM,518089240713180,Dave Robb,9/12/2013 6:33:07 PM,9/12/2013 6:54:07 PM,9/13/2013 5:00:09 PM,6/23/2014 8:54:03 PM,Closed,E-Innovations 2,
Western Forms Inc,10/3/2011 12:48:34 PM,518089240527283,Dave Robb,10/3/2011 12:48:34 PM,10/16/2011 10:11:26 PM,10/17/2011 1:59:03 PM,10/8/2013 2:40:42 PM,Closed,E-Innovations 2,
Williams Lighting Galleries,1/15/2018 4:05:53 PM,554402000432625,Tom  Ellison,1/15/2018 4:05:53 PM,1/15/2018 4:35:32 PM,1/16/2018 5:10:53 PM,1/30/2020 11:18:13 AM,Closed,E-Innovations 2,
Winton Products Company,4/2/2012 1:28:16 PM,518089240571513,Tom Ellison,4/2/2012 1:28:16 PM,4/2/2012 1:44:48 PM,4/2/2012 4:46:04 PM,8/25/2015 10:23:27 PM,Closed,E-Innovations 2,
